platform,app_id,app_name,publisher_name,categories
gp,com.cgames.bonza,Crossword Jigsaw,Best Word Game Studio,"GAME, GAME_WORD"
gp,com.anoshenko.android.solitaires,250+ Solitaire Collection,Alexei Anoshenko,"GAME_CARD, GAME"
gp,com.xunxin.doudizu,Landlords,SwiftStar,"GAME_CARD, GAME"
gp,com.netk.kumamon_speed_second,くまモンのスピード（無料トランプゲーム）,Kazutaka Sato,"GAME_CARD, GAME"
gp,br.com.tapps.epicpartyclicker,Epic Party Clicker - Throw Epic Dance Parties!,Tapps Games,"GAME_MUSIC, GAME"
gp,nl.tapgames.CoinPusherGoldFree,Coin Pusher Gold,TapGames,"GAME, GAME_CASINO"
gp,com.alawar.tomi3.full,Treasures of Mystery Island 3,"Alawar Entertainment, Inc.","GAME, GAME_PUZZLE"
gp,com.threeminutegames.emojishuffle,Emoji Shuffle!,3 Minute Games,"GAME, GAME_PUZZLE"
gp,com.games2win.mirandasingsvshaters,Miranda Sings vs Haters,Games2win.com,"GAME, GAME_PUZZLE"
gp,com.buasoftinc.dinosaurrunnergames,Dinosaur Run Games Free Hunter,BuaSoft Inc,"GAME, GAME_RACING"
gp,com.forplay.pops,Pop Fruit,LIQIAOLAN,"GAME, GAME_TRIVIA"
gp,org.lei.app.sudoku,Simple Sudoku,YC Lei,"GAME, GAME_TRIVIA"
gp,com.salwa.andaidapatku.undurkanmasa,Andai Dapat Ku Undurkan Masa,salwa,"GAME, GAME_TRIVIA"
gp,com.mgc.Miami.ViceTown,Miami Crime Vice Town,Naxeex LLC,"GAME_ACTION, GAME"
gp,com.AAcorp.XRayTankRobot,X Ray Battle Tank,Nautick ind,"GAME_ACTION, GAME"
gp,jp.coffeebreakin.app.birusosp,Crazy Jumper Special - Free,CoffeeBreak,"GAME_ACTION, GAME"
gp,com.dapao.game.fish3,Wow Fish 3,90123 Mobile,"GAME_ARCADE, GAME"
gp,com.appmaster.heroes,Bounce Heroes,theappmaster,"GAME_ARCADE, GAME"
gp,com.bwagamesstudio.flyingrocket,Flying Rocket,BWA Games Studio,"GAME_ARCADE, GAME"
gp,com.TableElevenGaming.RforRestart,R for Restart (OLD),Table Eleven Studios,"GAME_ARCADE, GAME"
gp,com.AntisanctionsBurnSmuggling,Антисанкции Жги Контрабанду,Magilona Bomber,"GAME_ARCADE, GAME"
gp,com.outthinking.cookinggame,Cooking Fest : Cooking Games,ANDROID PIXELS,"GAME_ARCADE, GAME"
gp,com.ketchapp.spiraltower,Spiral Tower,Ketchapp,"GAME_ARCADE, GAME"
gp,com.noodlecake.brickies,Brickies,Noodlecake Studios Inc,"GAME_ARCADE, GAME"
gp,com.nordcurrent.happychef2,Happy Chef 2,Nordcurrent,"GAME_ARCADE, GAME"
gp,com.pomelogames.bulletboy.google,Bullet Boy,Kongregate,"GAME_ARCADE, GAME"
gp,com.ketchapp.qubes,Qubes,Ketchapp,"GAME_ARCADE, GAME"
gp,air.com.crowdpark.casinomobileapp,Golden Empire Casino - Slots,Crowdpark,"GAME_CASINO, GAME"
gp,com.ionicframework.gametrial374933,Color Doodle Touch Lite,Rohit Aneja,"GAME_CASUAL, GAME"
gp,it.marzoli.app.batterywidgetpro,Battery level PRO,Andrea Marzoli,"GAME_CASUAL, GAME"
gp,com.nuttyapps.little.princess.tailor,Little Princess Tailor Dressup,Nutty Apps,"GAME_CASUAL, GAME"
gp,com.funloop.pizzamakercashregister,Pizza maker cash register,funloop,"GAME_CASUAL, GAME"
gp,net.isitlove.cartercorp.matt,Is-it Love? Matt - Dating Sim,1492 Studio,"GAME_CASUAL, GAME"
gp,com.scottgames.kittycrowd,Kitty in the Crowd,Scott Cawthon,"GAME_CASUAL, GAME"
gp,br.com.tapps.myponycastle,My Magic Castle - Poneys Unicorns and Dollhouses,Tapps Games,"GAME_CASUAL, GAME"
gp,com.tabtale.coolkindergarten,Kindergarten Kids-Play All Day,TabTale,"GAME_CASUAL, GAME"
gp,com.Seriously.BestFiends,Best Fiends - Puzzle Adventure,Seriously Digital Entertainment Ltd.,"GAME_CASUAL, GAME"
gp,net.ipromgames.android_beautypageantqueen,Beauty Queen - Star Girl Salon,iProm Games,"GAME_CASUAL, GAME"
gp,com.justagame.skijumping12,Ski Jumping 12,thumbr,"GAME_SPORTS, GAME"
gp,com.games2win.cricketbattles,Cricket Battles Live Game,Games2win.com,"GAME_SPORTS, GAME"
gp,appinventor.ai_adasiek_r.latarka_shake,Flashlight free shake a Adarus,Adarus,"APPLICATION, TOOLS"
gp,com.lukemovement.autoremove.pro,AutoRemover PRO,Lukemovement,"APPLICATION, TOOLS"
gp,com.ttech.android.onlineislem,Turkcell Hesabım,Turkcell İletişim Hizmetleri A.Ş,"APPLICATION, TOOLS"
gp,com.sanplot.pokerbuddy,PokerBuddy,Sanplot,"APPLICATION, TOOLS"
gp,sds.map.geosputnik,GeoSputnik,SilinDS,"APPLICATION, TOOLS"
gp,com.hiloci.bluewater,BlueWater,Hiloci,"APPLICATION, TOOLS"
gp,com.appybuilder.sefikkaraburun.convertor,Güvercin Burda,Turk ApkSoft,"APPLICATION, TOOLS"
gp,project.field.sea,期限キーパー - 期限管理,SeaField Project,"APPLICATION, TOOLS"
gp,com.affinity.florida_hockey,Florida Hockey Louder Rewards,"Influence Mobile, Inc.","APPLICATION, SOCIAL"
gp,air.com.ccm.Snapstars,SocialMe - Stars influencers & followers,AppsTv,"APPLICATION, SOCIAL"
gp,com.johneyboy.whitetaildeercalls,Whitetail Deer Calls,Nielsen Family Creations,"APPLICATION, SPORTS"
gp,com.Sports.tv.online.cricket.Live.streaming.ptvsport.smart_cool.free,India vs Sri Lanka Live  HD Streaming,Smart_Cool Apps,"APPLICATION, SPORTS"
gp,com.unikstart.blipolitigratis,Politi treningsdagbok gratis,Ditlefsen Invest,"APPLICATION, SPORTS"
gp,com.madeinfoot.android,Foot : Infos Mercato & Direct,Made in,"APPLICATION, SPORTS"
gp,com.swyft.nfl,NFL Emojis,NFL Enterprises LLC,"APPLICATION, SPORTS"
gp,de.softceed.android.bbl,easyCredit BBL,Softceed GmbH,"APPLICATION, SPORTS"
gp,com.espn.australia,WatchESPN Australia,ESPN Inc,"APPLICATION, SPORTS"
gp,com.tbtgames.chinesechessmaster,Chinese Chess Master 2017,TBT Digital Games,"GAME_STRATEGY, GAME"
gp,br.com.tapps.vloggergoviral,Vlogger Go Viral - Tuber Game,Tapps Games,"GAME_STRATEGY, GAME"
gp,com.micogames.clashisle,Clash of Islands,Mid Core Games,"GAME_STRATEGY, GAME"
gp,com.gltornado.archdqb,صراع الهوامير,TORNADO,"GAME_STRATEGY, GAME"
gp,com.ProfitStars.TeleWeb103102410,ENB Mobile Banking,Eastman National Bank,"APPLICATION, FINANCE"
gp,com.paymate.denabank,Dena Bank,PayMate India,"APPLICATION, FINANCE"
