gp_app_id,ios_app_id,is_match
com.linternaute.dictionnaire,352732499,true
cl.ibex.servipag,873133446,true
com.swyft.nfl,1044513914,true
com.peekaboo.cookapp,833499556,true
com.games2win.mirandasingsvshaters,1044202386,true
com.chosunmedia.tab10,422051980,true
br.com.tapps.vloggergoviral,1045165396,true
com.g5e.artmogul,578931152,true
bearface.games.merchant,1035170074,true
net.ipromgames.android_beautypageantqueen,1102276703,true
com.anoshenko.android.solitaires,471731455,true
br.com.tapps.forestfolks.petspa,1063835515,true
com.gameloft.android.ANMP.GloftOOHM,915713314,true
com.mindtwisted.kanjistudy,400074354,true
br.com.tapps.nailmakeover,1120279729,true
com.ima.fantastic.mycatholiclife17,990898487,true
de.rbb.tv.abendschau,877525072,true
com.micogames.clashisle,956169902,true
nl.tapgames.CoinPusherGoldFree,515963005,true
com.acotel.astri,380659623,true
nandos.android.appsg,891222132,true
com.g5e.pilotbr2.full,640543364,true
ru.crtweb.amru,659430172,true
air.com.ccm.Snapstars,1087907133,true
it.rcs.gazzettadigitaledition,371704219,true
com.g5e.cursedship.android,807485218,true
com.delaltasarim.kadinkisgiyim,1107240689,true
com.espn.australia,1069088083,true
com.ketchapp.spiraltower,1171558918,true
net.ays.PROD617298,1179016753,true
jp.coffeebreakin.app.birusosp,581128627,true
com.elokence.akinatorlite,1097766940,true
com.rogers.vicinity,649519217,true
jp.bins.binsmyapp_kaino,1103228980,true
com.xunxin.doudizu,934792851,true
com.pelephone.navigator,332545668,true
com.valley.city.oil.truck.transport.apps,1082993260,true
com.raycom.kcbd,449623692,true
com.appquiz.Baby_Blocks,958123610,true
de.alpstein.alpregio.Trentino,668528150,true
com.rumble.the_scotsman,491137054,true
net.isitlove.cartercorp.matt,1042313380,true
pe.gob.sunat.movil,993880121,true
com.meiio.waldfibel,453746100,true
com.netk.kumamon_speed_second,715478563,true
com.noodlecake.brickies,969122371,true
com.libiitech.candyfamily,966871820,true
com.Seriously.BestFiends,868013618,true
com.ketchapp.qubes,1033020671,true
com.budgestudios.StrawberryShortcakeFoodFair,953522237,true
com.roadstruck.mobile,911206852,true
com.mtrip.New_York,377137875,true
org.cocos2dx.IslandMystery,1119194358,true
tw.txwy.and.hsqj,1086003937,true
com.pomelogames.bulletboy.google,899606169,true
com.happyordering.chefsunion,755582884,true
com.uken.android.novawars,403665668,true
com.budgestudios.BarbieSuperstar,1027779769,true
vines.expository.bible.dictionary,951443889,true
com.ProClub.BeWell.AndroidTracker,534455056,true
co.romesoft.kids.wash.treat.pets,1086648863,true
com.nobelglobe.nobelapp,751764895,true
jp.co.yahoo.netallica,794233167,true
br.com.tapps.myponycastle,992522581,true
com.asmolgam.aminoacids,807763847,true
eu.stettiner.dianaphoto,694075857,true
com.wane.android.weather,935426063,true
com.na_at.grc,620011144,true
com.tabtale.coolkindergarten,1052676364,true
air.net.mindresearch.stmath,550846820,true
com.balinasoft.uglevodovnet,1031895337,true
com.physiapp,1047722007,true
net.ays.PROD583110,1122911884,true
com.lamudi.android,811256375,true
com.g5e.dreamcatchrs.android,818546060,true
com.budgestudios.MissHollywood2,955856059,true
com.games2win.cricketbattles,953453718,true
cn.com.modernmedia.tanc,598848324,true
com.tellybug.talent.britain,509548795,true
com.catalyst.akd,654936632,true
com.libiitech.petfairground,843207561,true
com.threeminutegames.emojishuffle,1120418083,true
com.gltornado.archdqb,1003662204,true
com.milibris.standalone.app.challenges,410299648,true
com.scottgames.kittycrowd,870723714,true
com.oodles.download.free.ebooks.reader,1068772026,true
air.com.spilgames.LevelEditor4,904213545,true
com.esastestholding.burda14,1121985534,true
com.photomontager,735242318,true
br.com.tapps.epicpartyclicker,998665159,true
com.vancouver.knows,1052391422,true
com.nordcurrent.happychef2,642313308,true
org.es.wildplants,981513010,true
com.globe.gcharge.v2,953852207,true
com.tabtale.kitchenkids,1167990790,true
tw.keyway.android.realprice,920879169,true
de.yathos.fmg.mucapp,527130108,true
de.softceed.android.bbl,787229460,true
com.omertex.android.suitcase,540370306,true
com.gentouch.dictionary,578153203,true
com.tribair.totalrecall,859358764,true
